keyword,study_group,date_added,source
Jody Freeman,Australian election,2019-11-25,Politicians – Wikipedia
Simone Collins,Australian election,2019-11-26,Politicians – Wikipedia
Jodi Moffat,Australian election,2019-11-27,Politicians – Wikipedia
Mark Cooper,Australian election,2019-11-28,Politicians – Wikipedia
Cameron Pidgeon,Australian election,2019-11-29,Politicians – Wikipedia
Johani Mamid,Australian election,2019-11-30,Politicians – Wikipedia
Nerilee Boshammer,Australian election,2019-12-01,Politicians – Wikipedia
Jesse Hutchinson,Australian election,2019-12-02,Politicians – Wikipedia
Lee-Anne Miles,Australian election,2019-12-03,Politicians – Wikipedia
Daniel Vujuch,Australian election,2019-12-04,Politicians – Wikipedia
Nelson Blake Gilmour,Australian election,2019-12-05,Politicians – Wikipedia
Eugene Marshall,Australian election,2019-12-06,Politicians – Wikipedia
Caroline Perks,Australian election,2019-12-07,Politicians – Wikipedia
Judith Cullity,Australian election,2019-12-08,Politicians – Wikipedia
Liberty Cramer,Australian election,2019-12-09,Politicians – Wikipedia
Martin Spencer,Australian election,2019-12-10,Politicians – Wikipedia
Sheila Mundy,Australian election,2019-12-11,Politicians – Wikipedia
James Harfouche,Australian election,2019-12-12,Politicians – Wikipedia
Tyler Walsh,Australian election,2019-12-13,Politicians – Wikipedia
John Hassell,Australian election,2019-12-14,Politicians – Wikipedia
Sandy Old,Australian election,2019-12-15,Politicians – Wikipedia
Gabriel Harfouche,Australian election,2019-12-16,Politicians – Wikipedia
Penny Kyburz ,Australian election,2019-12-17,Politicians – Wikipedia
Mehreen Faruqi,Australian election,2019-12-18,Politicians – Wikipedia
Sophie York ,Australian election,2019-12-19,Politicians – Wikipedia
Andrew Potts ,Australian election,2019-12-20,Politicians – Wikipedia
Jewell Drury,Australian election,2019-12-21,Politicians – Wikipedia
Steven Georgantis,Australian election,2019-12-22,Politicians – Wikipedia
Joshua Burgoyne,Australian election,2019-12-23,Politicians – Wikipedia
Larissa Waters,Australian election,2019-12-24,Politicians – Wikipedia
Lyle Shelton ,Australian election,2019-12-25,Politicians – Wikipedia
Malcolm Roberts,Australian election,2019-12-26,Politicians – Wikipedia
Darren Caulfield ,Australian election,2019-12-27,Politicians – Wikipedia
Roslyn Day,Australian election,2019-12-28,Politicians – Wikipedia
Alex Gallacher ,Australian election,2019-12-29,Politicians – Wikipedia
Anne Ruston ,Australian election,2019-12-30,Politicians – Wikipedia
Sarah Hanson-Young ,Australian election,2019-12-31,Politicians – Wikipedia
Skye Kakoschke-Moore,Australian election,2020-01-01,Politicians – Wikipedia
Rikki Lambert,Australian election,2020-01-02,Politicians – Wikipedia
Tim Storer,Australian election,2020-01-03,Politicians – Wikipedia
Nick McKim,Australian election,2020-01-04,Politicians – Wikipedia
Jacqui Lambie ,Australian election,2020-01-05,Politicians – Wikipedia
James Paterson ,Australian election,2020-01-06,Politicians – Wikipedia
Janet Rice,Australian election,2020-01-07,Politicians – Wikipedia
Kevin Bailey,Australian election,2020-01-08,Politicians – Wikipedia
Yuting Gu,Australian election,2020-01-09,Politicians – Wikipedia
Pat Dodson ,Australian election,2020-01-10,Politicians – Wikipedia
Linda Reynolds ,Australian election,2020-01-11,Politicians – Wikipedia
Jordon Steele-John,Australian election,2020-01-12,Politicians – Wikipedia
Peter Georgiou,Australian election,2020-01-13,Politicians – Wikipedia
Nick Fardell,Australian election,2020-01-14,Politicians – Wikipedia
Jonathan Crabtree ,Australian election,2020-01-15,Politicians – Wikipedia
Rachel Minniti,Australian election,2020-01-16,Politicians – Wikipedia
David Fawcett ,Australian election,2020-01-17,Politicians – Wikipedia
Anthony Ziebelli,Australian election,2020-01-18,Politicians – Wikipedia
Riccardo Bosi ,Australian election,2020-01-19,Politicians – Wikipedia
Kirralie Smith,Australian election,2020-01-20,Politicians – Wikipedia
Navdeep Singh,Australian election,2020-01-21,Politicians – Wikipedia
Johanna Kloot,Australian election,2020-01-22,Politicians – Wikipedia
Steve Dickson,Australian election,2020-01-23,Politicians – Wikipedia
Joanna Lindgren,Australian election,2020-01-24,Politicians – Wikipedia
Adam Finch,Australian election,2020-01-25,Politicians – Wikipedia
Marielle Smith ,Australian election,2020-01-26,Politicians – Wikipedia
Emily Gore,Australian election,2020-01-27,Politicians – Wikipedia
Alex Antic ,Australian election,2020-01-28,Politicians – Wikipedia
Lucy Gichuhi,Australian election,2020-01-29,Politicians – Wikipedia
Major Sumner,Australian election,2020-01-30,Politicians – Wikipedia
Glynn Williams ,Australian election,2020-01-31,Politicians – Wikipedia
Chris Reynolds,Australian election,2020-02-01,Politicians – Wikipedia
Jane Hume,Australian election,2020-02-02,Politicians – Wikipedia
Louise Pratt,Australian election,2020-02-03,Politicians – Wikipedia
Slade Brockman ,Australian election,2020-02-04,Politicians – Wikipedia
Matt O'Sullivan ,Australian election,2020-02-05,Politicians – Wikipedia
Trischa Botha,Australian election,2020-02-06,Politicians – Wikipedia
Peter Castieau,Australian election,2020-02-07,Politicians – Wikipedia
Emma Davidson,Australian election,2020-02-08,Politicians – Wikipedia
